Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-25 00:00:00+00:00,76981.125,77804.921875,76833.0390625,77279.9296875,19808387601,0.0,0.0
2026-05-26 00:00:00+00:00,77280.125,77990.8671875,75569.46875,75825.734375,35999475458,0.0,0.0
2026-05-27 00:00:00+00:00,75825.3046875,76014.296875,74136.5,74344.703125,33802172927,0.0,0.0
2026-05-28 00:00:00+00:00,74339.5703125,74460.125,72493.4140625,73536.5546875,40148145327,0.0,0.0
2026-05-29 00:00:00+00:00,73537.03125,74218.5625,72435.625,73372.5234375,34457929250,0.0,0.0
2026-05-30 00:00:00+00:00,73370.8515625,74020.7578125,73125.234375,73754.8359375,19563589191,0.0,0.0
2026-05-31 00:00:00+00:00,73753.75,74153.5,73315.015625,73579.6875,17445435650,0.0,0.0
2026-06-01 00:00:00+00:00,73580.2109375,73969.5703125,70599.5078125,71319.7734375,43378836121,0.0,0.0
2026-06-02 00:00:00+00:00,71321.03125,71334.953125,66127.265625,66703.65625,54990073882,0.0,0.0
2026-06-03 00:00:00+00:00,66694.0078125,67402.9296875,64009.67578125,64014.3671875,47411556213,0.0,0.0
2026-06-04 00:00:00+00:00,64020.0703125,64664.4453125,61335.75,63801.57421875,63800151780,0.0,0.0
2026-06-05 00:00:00+00:00,63807.69140625,63901.515625,59108.91796875,60922.66796875,71465606706,0.0,0.0
2026-06-06 00:00:00+00:00,60924.4765625,61491.703125,59496.625,60867.4140625,30898464957,0.0,0.0
2026-06-07 00:00:00+00:00,60866.94140625,64128.04296875,60724.06640625,63239.51953125,36006496194,0.0,0.0
2026-06-08 00:00:00+00:00,63244.0859375,64185.765625,62384.66796875,63090.58984375,34133252457,0.0,0.0
2026-06-09 00:00:00+00:00,63092.890625,63486.08984375,60756.6875,61643.78125,40144449754,0.0,0.0
2026-06-10 00:00:00+00:00,61643.20703125,62788.27734375,60788.0234375,61449.2890625,27493506779,0.0,0.0
2026-06-11 00:00:00+00:00,61448.87890625,63851.94921875,61447.96875,63561.0546875,29316677897,0.0,0.0
2026-06-12 00:00:00+00:00,63547.44140625,64334.015625,62778.79296875,63543.19921875,26881868307,0.0,0.0
2026-06-13 00:00:00+00:00,63541.515625,64700.87890625,63431.3203125,64421.32421875,16956245530,0.0,0.0
2026-06-14 00:00:00+00:00,64420.16796875,65749.78125,63634.0234375,65710.3984375,21572226975,0.0,0.0
2026-06-15 00:00:00+00:00,65711.109375,67248.1328125,65315.8359375,66289.5,32927321950,0.0,0.0
2026-06-16 00:00:00+00:00,66289.4609375,66928.609375,65315.0703125,65600.640625,25063963967,0.0,0.0
2026-06-17 00:00:00+00:00,65600.4296875,66354.625,63870.9296875,64418.4453125,31288885189,0.0,0.0
2026-06-18 00:00:00+00:00,64419.64453125,64736.921875,62201.14453125,62896.47265625,30432454936,0.0,0.0
2026-06-19 00:00:00+00:00,62897.515625,63568.22265625,62275.58203125,63540.8359375,22361931660,0.0,0.0
2026-06-20 00:00:00+00:00,63535.80859375,64307.13671875,63149.66015625,64239.67578125,17486384117,0.0,0.0
2026-06-21 00:00:00+00:00,64242.32421875,64506.578125,63221.0,63237.5390625,15739619591,0.0,0.0
2026-06-22 00:00:00+00:00,63240.7890625,65544.0,63233.53125,63952.10546875,26561496819,0.0,0.0
2026-06-23 00:00:00+00:00,63952.79296875,64196.5625,61893.20703125,62668.01953125,29608942370,0.0,0.0
2026-06-25 00:00:00+00:00,60983.43359375,61652.08984375,60665.85546875,61535.41015625,43500474368,0.0,0.0
